Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,133.520004,145.089996,126.379997,131.960007,130.195892,2240262000
2021-02-01,133.750000,137.880005,118.389999,121.260002,119.638947,1833855600
2021-03-01,123.750000,128.720001,116.209999,122.150002,120.697136,2650418200
2021-04-01,123.660004,137.070007,122.489998,131.460007,129.896423,1889857500
2021-05-01,132.039993,134.070007,122.250000,124.610001,123.127876,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,135.560867,1606590000
2021-07-01,136.600006,150.000000,135.759995,145.860001,144.369934,1919035100
2021-08-01,146.360001,153.490005,144.500000,151.830002,150.278961,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.500000,140.264313,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,148.491837,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,163.856491,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,176.276215,2444766700
